xenbase_gene_id,S20_C_5,S20_C_6,S20_C_A,S20_F_5,S20_F_6,S20_F_A
XB-GENE-1000007,231,127,136,134,169,244
XB-GENE-1000023,610,292,483,384,609,725
XB-GENE-1000062,140,67,65,86,81,132
XB-GENE-1000072,109,42,51,58,51,110
XB-GENE-1000113,234,176,115,166,238,209
XB-GENE-1000132,142,58,88,71,99,147
XB-GENE-1000149,28,14,9,29,30,28
XB-GENE-1000161,0,1,0,0,0,0
XB-GENE-1000188,0,0,4,0,1,3
XB-GENE-1000251,10524,2949,3039,5747,4934,5462
XB-GENE-1000265,118,40,95,95,79,175
XB-GENE-1000295,1,0,0,0,0,1
XB-GENE-1000329,58,24,25,33,41,46
XB-GENE-1000363,26,9,17,22,12,22
XB-GENE-1000372,2,0,4,1,2,2
XB-GENE-1000382,196,106,133,143,173,250
XB-GENE-1000419,0,1,6,0,0,2
XB-GENE-1000437,51,20,31,23,21,29
XB-GENE-1000470,56,51,71,47,100,174
XB-GENE-1000482,41,26,34,30,51,61
XB-GENE-1000491,182,72,103,124,138,205
XB-GENE-1000531,129,65,94,91,82,129
XB-GENE-1000542,197,87,125,140,140,209
XB-GENE-1000552,356,157,153,204,186,316
XB-GENE-1000567,181,93,103,82,117,144
XB-GENE-1000580,2133,835,966,1402,1582,2119
XB-GENE-1000594,22,23,16,13,26,26
XB-GENE-1000606,4,1,1,1,3,1
XB-GENE-1000619,71,23,23,32,39,50
XB-GENE-1000638,112,70,105,82,106,158
XB-GENE-1000678,744,478,724,533,657,1218
XB-GENE-1000687,175,52,123,159,207,332
XB-GENE-1000706,77,48,84,59,57,93
XB-GENE-1000765,831,379,545,458,524,758
XB-GENE-1000779,15,6,14,7,9,25
XB-GENE-1000791,63,46,52,45,92,62
XB-GENE-1000815,74,44,54,50,72,65
XB-GENE-1000834,3,1,5,3,2,6
XB-GENE-1000845,302,118,162,134,233,160
XB-GENE-1000854,34,15,18,11,35,38
XB-GENE-1000959,242,126,179,184,210,321
XB-GENE-1000971,219,86,114,155,139,186
XB-GENE-1000983,2263,948,1466,1860,1933,3068
XB-GENE-1001017,20,19,39,12,20,35
XB-GENE-1001029,22,13,12,8,14,22
XB-GENE-1001039,79,38,58,43,58,99
XB-GENE-1001059,355,122,113,153,232,141
XB-GENE-1001088,431,184,269,319,297,438
XB-GENE-1001113,131,82,83,91,109,169
XB-GENE-1001131,23,7,12,20,24,44
XB-GENE-1001139,0,0,1,0,0,0
XB-GENE-1001158,413,147,153,221,300,409
XB-GENE-1001182,4,1,0,1,0,5
XB-GENE-1001202,275,138,217,185,185,260
XB-GENE-1001213,371,142,219,212,223,415
XB-GENE-1001247,76,35,48,50,66,93
XB-GENE-1001321,352,146,127,222,147,280
XB-GENE-1001347,5185,2038,3077,4231,4287,6102
XB-GENE-1001378,0,1,3,0,2,1
XB-GENE-1001390,44,28,36,33,48,47
XB-GENE-1001398,496,186,242,306,253,387
XB-GENE-1001421,80,38,48,63,71,106
XB-GENE-1001444,190,124,143,129,174,237
XB-GENE-1001458,43,20,31,26,43,64
XB-GENE-1001470,44,10,26,9,12,24
XB-GENE-1001488,1080,314,465,641,499,760
XB-GENE-1001512,209,81,120,111,167,218
XB-GENE-1001521,15,10,11,10,12,15
XB-GENE-1001532,129,55,59,97,99,163
XB-GENE-1001545,114,37,58,75,48,89
XB-GENE-1001590,283,114,183,198,201,325
XB-GENE-1001617,172,89,118,111,113,180
XB-GENE-1001623,99,46,47,71,65,71
XB-GENE-1001652,0,0,0,0,2,1
XB-GENE-1001661,18,9,19,2,10,29
XB-GENE-1001671,220,120,112,119,184,200
XB-GENE-1001705,146,52,59,85,76,96
XB-GENE-1001715,28,9,28,24,35,67
XB-GENE-1001725,477,270,366,453,539,687
XB-GENE-1001737,474,255,374,307,424,481
XB-GENE-1001748,354,154,286,193,197,387
XB-GENE-1001759,50,23,31,30,43,44
XB-GENE-1001776,492,254,411,318,374,499
XB-GENE-1001785,138,61,68,83,105,134
XB-GENE-1001796,41,9,55,26,22,107
XB-GENE-1001807,464,186,307,299,316,529
XB-GENE-1001828,15,6,4,12,4,5
XB-GENE-1001848,73,46,75,54,68,80
XB-GENE-1001862,276,167,241,180,243,297
XB-GENE-1001876,57,46,28,41,52,30
XB-GENE-1001922,76,35,43,44,50,93
XB-GENE-1001944,167,90,113,132,132,151
XB-GENE-1001971,1636,656,1061,1294,1218,2007
XB-GENE-1001995,160,79,75,124,124,206
XB-GENE-1002009,54,22,27,33,48,48
XB-GENE-1002020,4697,1863,1644,2773,2524,2458
XB-GENE-1002054,169,72,105,133,84,229
XB-GENE-1002072,108,42,39,64,61,77
XB-GENE-1002106,6,5,4,3,0,8
XB-GENE-1002136,123,85,85,74,134,149
XB-GENE-1002146,380,225,303,275,361,393
XB-GENE-1002174,317,162,179,235,272,291
XB-GENE-1002192,110,41,62,85,102,189
XB-GENE-1002225,10684,5334,7097,7660,6271,10255
