LID,TID,pid,x.position,y.position,time,track.length,euclidean.distance,jump.distance,velocity,clone
1,1,1,743.701,684.741,0,0,0,NA,NA,A
1,1,2,745.041,686.081,23,1.895,1.895,1.895,0.082,A
1,1,3,745.041,686.081,46,1.895,1.895,0,0,A
1,1,4,735.661,692.781,69,13.422,11.37,11.527,0.501,A
1,1,5,737.001,686.081,92,20.255,6.833,6.833,0.297,A
1,1,6,737.001,678.041,115,28.295,9.475,8.04,0.35,A
1,1,7,743.701,665.981,138,42.091,18.76,13.796,0.6,A
1,1,8,737.001,679.381,161,57.073,8.58,14.982,0.651,A
1,1,9,742.361,686.081,184,65.653,1.895,8.58,0.373,A
1,1,10,746.381,679.381,207,73.466,5.993,7.813,0.34,A
1,1,11,739.011,679.827,230,80.85,6.792,7.384,0.321,A
1,2,1,738.564,668.437,253,0,0,NA,NA,A
1,2,2,738.564,669.331,276,0.893,0.893,0.893,0.039,A
1,2,3,738.564,654.367,299,15.857,14.07,14.963,0.651,A
1,2,4,740.797,641.637,322,28.781,26.893,12.924,0.562,A
1,2,5,744.147,633.597,345,37.491,35.285,8.71,0.379,A
1,2,6,747.051,623.324,368,48.167,45.905,10.676,0.464,A
1,2,7,742.584,611.934,391,60.401,56.646,12.235,0.532,A
1,2,8,740.127,602.331,414,70.314,66.125,9.913,0.431,A
1,2,9,735.661,594.626,437,79.22,73.869,8.906,0.387,A
1,2,10,729.296,591.276,460,86.413,77.716,7.193,0.313,A
1,2,11,721.926,583.906,483,96.836,86.154,10.423,0.453,A
1,2,12,714.891,579.551,506,105.109,91.985,8.274,0.36,A
1,2,13,708.191,569.836,529,116.911,103.174,11.801,0.513,A
1,2,14,702.496,564.475,552,124.731,110.041,7.821,0.34,A
1,2,15,697.806,560.79,575,130.696,115.105,5.965,0.259,A
1,2,16,711.541,565.815,598,145.321,106.12,14.625,0.636,A
1,2,17,712.211,558.78,621,152.388,112.779,7.067,0.307,A
1,2,18,690.436,551.075,644,175.486,126.847,23.098,1.004,A
1,2,19,678.376,534.325,667,196.126,146.999,20.64,0.897,A
1,2,20,671.341,523.605,690,208.948,159.672,12.822,0.557,A
1,2,21,662.296,516.235,713,220.616,170.242,11.667,0.507,A
1,2,22,658.276,509.87,736,228.144,177.735,7.528,0.327,A
1,2,23,649.231,502.5,759,239.811,188.456,11.667,0.507,A
1,2,24,632.481,491.78,782,259.698,206.061,19.887,0.865,A
1,2,25,625.111,486.755,805,268.618,214.196,8.92,0.388,A
1,2,26,612.716,483.07,828,281.549,224.051,12.931,0.562,A
1,2,27,605.681,475.7,851,291.738,234.106,10.189,0.443,A
1,2,28,590.941,471.68,874,307.016,245.98,15.278,0.664,A
1,2,29,577.987,468.554,897,320.342,256.395,13.325,0.579,A
1,2,30,573.967,460.96,920,328.934,264.837,8.592,0.374,A
1,2,31,576.647,450.687,943,339.551,271.353,10.617,0.462,A
1,2,32,574.414,447.56,966,343.393,275.194,3.842,0.167,A
1,2,33,573.521,442.647,989,348.387,279.679,4.994,0.217,A
1,2,34,581.114,434.607,1012,359.446,281.899,11.059,0.481,A
1,2,35,587.814,432.374,1035,366.508,280.092,7.062,0.307,A
1,2,36,583.794,426.567,1058,373.571,287.15,7.062,0.307,A
1,2,37,584.687,416.74,1081,383.438,295.007,9.867,0.429,A
1,2,38,593.621,414.06,1104,392.765,292.773,9.327,0.406,A
1,2,39,601.214,411.827,1127,400.68,291.056,7.915,0.344,A
1,2,40,611.934,411.827,1150,411.4,286.154,10.72,0.466,A
1,2,41,620.421,411.827,1173,419.886,282.501,8.487,0.369,A
1,2,42,619.081,409.147,1196,422.883,285.496,2.996,0.13,A
1,2,43,620.867,409.147,1219,424.669,284.752,1.787,0.078,A
1,2,44,630.694,411.38,1242,434.747,278.773,10.077,0.438,A
1,2,45,633.821,413.614,1265,438.589,275.511,3.842,0.167,A
1,2,46,642.754,414.954,1288,447.622,270.986,9.033,0.393,A
1,2,47,648.561,418.527,1311,454.44,265.623,6.818,0.296,A
1,2,48,653.921,426.567,1334,464.103,256.253,9.663,0.42,A
1,2,49,659.281,429.694,1357,470.309,251.564,6.205,0.27,A
1,2,50,660.174,434.607,1380,475.302,246.62,4.994,0.217,A
1,2,51,663.747,433.714,1403,478.986,246.359,3.683,0.16,A
1,2,52,665.981,429.247,1426,483.98,249.961,4.994,0.217,A
1,2,53,670.894,437.287,1449,493.402,240.852,9.422,0.41,A
1,2,54,667.321,439.074,1472,497.397,240.173,3.995,0.174,A
1,2,55,668.661,441.754,1495,500.394,237.217,2.996,0.13,A
1,2,56,671.341,447.114,1518,506.386,231.307,5.993,0.261,A
1,2,57,675.807,452.474,1541,513.363,224.897,6.977,0.303,A
1,2,58,681.167,458.727,1564,521.599,217.423,8.236,0.358,A
1,2,59,682.954,463.64,1587,526.828,212.213,5.228,0.227,A
1,2,60,696.354,481.507,1610,549.161,191.637,22.333,0.971,A
1,2,61,699.927,491.78,1633,560.038,180.833,10.877,0.473,A
1,2,62,706.627,505.18,1656,575.02,166.351,14.982,0.651,A
1,2,63,704.171,507.86,1679,578.655,164.219,3.636,0.158,A
1,2,64,707.521,515.23,1702,586.751,156.32,8.096,0.352,A
1,2,65,711.541,529.3,1725,601.384,141.737,14.633,0.636,A
1,2,66,712.211,529.3,1748,602.054,141.611,0.67,0.029,A
1,2,67,714.891,530.64,1771,605.05,139.816,2.996,0.13,A
1,2,68,712.881,525.95,1794,610.153,144.783,5.103,0.222,A
1,2,69,703.501,531.98,1817,621.304,140.89,11.151,0.485,A
1,2,70,706.181,544.208,1840,633.822,128.381,12.518,0.544,A
1,3,1,707.856,533.99,1863,0,0,NA,NA,A
