LID,TID,pid,x.position,y.position,time,track.length,euclidean.distance,jump.distance,velocity,clone,starting.x,starting.y,normalised.x,normalised.y
1,1,1,743.701,684.741,0,0,0,NA,NA,A,743.701,684.741,0,0
1,1,2,745.041,686.081,23,1.895,1.895,1.895,0.082,A,743.701,684.741,1.3400000000000318,1.3400000000000318
1,1,3,745.041,686.081,46,1.895,1.895,0,0,A,743.701,684.741,1.3400000000000318,1.3400000000000318
1,1,4,735.661,692.781,69,13.422,11.37,11.527,0.501,A,743.701,684.741,-8.040000000000077,8.039999999999964
1,1,5,737.001,686.081,92,20.255,6.833,6.833,0.297,A,743.701,684.741,-6.7000000000000455,1.3400000000000318
1,1,6,737.001,678.041,115,28.295,9.475,8.04,0.35,A,743.701,684.741,-6.7000000000000455,-6.699999999999932
1,1,7,743.701,665.981,138,42.091,18.76,13.796,0.6,A,743.701,684.741,0,-18.75999999999999
1,1,8,737.001,679.381,161,57.073,8.58,14.982,0.651,A,743.701,684.741,-6.7000000000000455,-5.360000000000014
1,1,9,742.361,686.081,184,65.653,1.895,8.58,0.373,A,743.701,684.741,-1.3400000000000318,1.3400000000000318
1,1,10,746.381,679.381,207,73.466,5.993,7.813,0.34,A,743.701,684.741,2.67999999999995,-5.360000000000014
1,1,11,739.011,679.827,230,80.85,6.792,7.384,0.321,A,743.701,684.741,-4.690000000000055,-4.913999999999987
1,2,1,738.564,668.437,253,0,0,NA,NA,A,738.564,668.437,0,0
1,2,2,738.564,669.331,276,0.893,0.893,0.893,0.039,A,738.564,668.437,0,0.8940000000000055
1,2,3,738.564,654.367,299,15.857,14.07,14.963,0.651,A,738.564,668.437,0,-14.07000000000005
1,2,4,740.797,641.637,322,28.781,26.893,12.924,0.562,A,738.564,668.437,2.233000000000061,-26.800000000000068
1,2,5,744.147,633.597,345,37.491,35.285,8.71,0.379,A,738.564,668.437,5.583000000000084,-34.84000000000003
1,2,6,747.051,623.324,368,48.167,45.905,10.676,0.464,A,738.564,668.437,8.48700000000008,-45.113000000000056
1,2,7,742.584,611.934,391,60.401,56.646,12.235,0.532,A,738.564,668.437,4.019999999999982,-56.50300000000004
1,2,8,740.127,602.331,414,70.314,66.125,9.913,0.431,A,738.564,668.437,1.5629999999999882,-66.106
1,2,9,735.661,594.626,437,79.22,73.869,8.906,0.387,A,738.564,668.437,-2.90300000000002,-73.81100000000004
1,2,10,729.296,591.276,460,86.413,77.716,7.193,0.313,A,738.564,668.437,-9.267999999999915,-77.16100000000006
1,2,11,721.926,583.906,483,96.836,86.154,10.423,0.453,A,738.564,668.437,-16.63799999999992,-84.53100000000006
1,2,12,714.891,579.551,506,105.109,91.985,8.274,0.36,A,738.564,668.437,-23.673000000000002,-88.88599999999997
1,2,13,708.191,569.836,529,116.911,103.174,11.801,0.513,A,738.564,668.437,-30.372999999999934,-98.601
1,2,14,702.496,564.475,552,124.731,110.041,7.821,0.34,A,738.564,668.437,-36.067999999999984,-103.96199999999999
1,2,15,697.806,560.79,575,130.696,115.105,5.965,0.259,A,738.564,668.437,-40.757999999999925,-107.64700000000005
1,2,16,711.541,565.815,598,145.321,106.12,14.625,0.636,A,738.564,668.437,-27.02299999999991,-102.62199999999996
1,2,17,712.211,558.78,621,152.388,112.779,7.067,0.307,A,738.564,668.437,-26.352999999999952,-109.65700000000004
1,2,18,690.436,551.075,644,175.486,126.847,23.098,1.004,A,738.564,668.437,-48.12799999999993,-117.36199999999997
1,2,19,678.376,534.325,667,196.126,146.999,20.64,0.897,A,738.564,668.437,-60.18799999999999,-134.11199999999997
1,2,20,671.341,523.605,690,208.948,159.672,12.822,0.557,A,738.564,668.437,-67.22299999999996,-144.832
