Variable1	LID	TID	track.duration	track.length	meandering.index	euclidean.distance	mean.speed	start.time.total.time	end.time.total.time	track.duration.total.time
LID	NA	-0.14833421921375634	0.041094147767505064	0.03460333611066167	0.0280577750267798	0.009019989450813538	-0.025358151444665345	-0.05045912608448715	-0.05472265888577699	0.041243087298117494
TID	-0.14833421921375634	NA	-0.25469355516693104	-0.26814338311458785	0.22121950326347886	-0.13344059417533352	-0.1253303842464529	0.8145722706079608	0.6520022423811875	-0.25372040498067605
track.duration	0.041094147767505064	-0.25469355516693104	NA	0.8403231554595499	-0.4772115542335658	0.41270873755640697	-0.004586156425639504	-0.41222385356077884	0.05400190520390522	0.9999419894763989
track.length	0.03460333611066167	-0.26814338311458785	0.8403231554595499	NA	-0.3449996249906248	0.6255002216639575	0.47416485412135306	-0.4434190098641259	-0.05325815257160187	0.8374605891218894
meandering.index	0.0280577750267798	0.22121950326347886	-0.4772115542335658	-0.3449996249906248	NA	0.4073201830045752	0.1141153528838221	0.32761227869203025	0.08098954578335424	-0.4781840378446066
euclidean.distance	0.009019989450813538	-0.13344059417533352	0.41270873755640697	0.6255002216639575	0.4073201830045752	NA	0.4936653416335409	-0.2590576283695202	-0.08411407826531146	0.4098273808985331
mean.speed	-0.025358151444665345	-0.1253303842464529	-0.004586156425639504	0.47416485412135306	0.1141153528838221	0.4936653416335409	NA	-0.18660706674210661	-0.15031344817138095	-0.009645812676650548
start.time.total.time	-0.05045912608448715	0.8145722706079608	-0.41222385356077884	-0.4434190098641259	0.32761227869203025	-0.2590576283695202	-0.18660706674210661	NA	0.7909489012280813	-0.4111080228052371
end.time.total.time	-0.05472265888577699	0.6520022423811875	0.05400190520390522	-0.05325815257160187	0.08098954578335424	-0.08411407826531146	-0.15031344817138095	0.7909489012280813	NA	0.054887010133424334
track.duration.total.time	0.041243087298117494	-0.25372040498067605	0.9999419894763989	0.8374605891218894	-0.4781840378446066	0.4098273808985331	-0.009645812676650548	-0.4111080228052371	0.054887010133424334	NA
